IP,Date,Time,Accepted cookies,Device type,Browser language,Browser name,OS Name,Country,Region,RegionName,City,Zipcode,Lat,Lon
49.36.83.154,2023-09-14,12:13:20 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-15,14:26:47 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-19,09:52:34 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-21,09:32:25 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-21,14:53:18 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-22,10:00:21 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395007,21.1888,72.8293
49.36.83.154,2023-09-26,09:37:06 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395005,21.1888,72.8293
49.36.83.154,2023-09-26,10:02:21 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395005,21.1888,72.8293
49.36.83.154,2023-09-27,08:52:43 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395005,21.1888,72.8293
49.36.83.154,2023-09-27,09:49:47 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395005,21.1888,72.8293
49.36.83.154,2023-09-28,08:31:27 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395005,21.1888,72.8293
49.36.83.154,2023-09-29,15:30:17 UTC,["necessary"],desktop,en,Chrome,Windows,India,GJ,Gujarat,Surat,395005,21.1888,72.8293
